x,y
3453,4423.3
3407,4477.6
3458.7,4503.5
3480.1,4503.5
3452.1,4509.2
3402.8,4511
3431.9,4513.9
3412.8,4516.6
3431.4,4520.6
3402,4522.1
3417.3,4527.5
3458,4529.7
3408.9,4534.7
3472.4,4539.8
3416.7,4539.7
3406.2,4549.6
3441.9,4549.1
3418.3,4547.9
3493.5,4555.9
3413.5,4560.6
3446.9,4559.9
3419.5,4562.7
3544.7,4568.7
3412.1,4569.3
3435.4,4569.8
3503.3,4571.5
3540.1,4574.4
3553.5,4579.6
3442.2,4582.7
3411.5,4580.8
3545.3,4580.7
3483.1,4590.7
3547.5,4586.2
3421.3,4586.9
3470.1,4590.1
3425.9,4593.5
3557.1,4591.8
3539.5,4593.8
3517,4595.5
3420.9,4598.6
3523.6,4597.3
